ID1,Chocolate Cake,Flour,45.0,Baking,Eggs_Milk_Gluten,Mix ingredients and bake at 350°F for 45 minutes.
ID2,Vanilla Cake,Sugar,89.0,Fried,Bleach_Clorophroe,Giving it to your best friend
ID3,Carrot Cake,Peanuts,8.0,Freeze,Red_Bull,Violet wants to eat this one c:
ID1,Chocolate Cake,Flour,45.0,Baking,Eggs_Milk_Gluten,Mix ingredients and bake at 350?F for 45 minutes.
ID1,Chocolate Cake,Flour,45.0,Baking,Eggs_Milk_Gluten,Mix ingredients and bake at 350?F for 45 minutes.
ID1,asdf,eggs_milk,30.0,Oven,Gluten,cook
ID1,cake,egg_milk_flour,45.0,Oven,Eggs_Sugar,bake
ID1,Chocolate Cake,Flour,45.0,Baking,Eggs_Milk_Gluten,Mix ingredients and bake at 350?F for 45 minutes.
ID8,banana bread,banana_flour_sugar_eggs_milk,5.0,Oven,Gluten_Lactose_Eggs_Sugar,bake
ID9,w,t,3.0,Oven,Eggs,t
ID10,t,t,4.0,Oven,Eggs,t
ID11,y,y,5.0,Oven,Gluten,y
ID12,u,u,2.0,Oven,Eggs,u
ID13,i,i,8.0,Oven,Nuts,i
ID14,i,i,8.0,Oven,Nuts,i
ID15,i,i,8.0,Oven,Nuts,i
ID16,o,o,9.0,Oven,Lactose,o
ID17,p,p,87.0,Oven,Lactose,p
ID18,s,s,3.0,Oven,Eggs,s
ID19,d,d,4.0,Oven,Lactose,d
